Time	CellId	RNTI	BWPId	SINR(dB)
7.1427e-05	1	0	0	35.2265
0.00507143	1	0	0	35.225
0.0100714	1	0	0	35.2235
0.0150714	1	0	0	35.2219
0.0200714	1	0	0	35.2204
0.0250714	1	1	0	35.2189
0.0300714	1	1	0	35.2173
0.0350714	1	1	0	35.2158
0.0400714	1	1	0	35.2142
0.0450714	1	1	0	35.2127
0.0500714	1	1	0	35.2112
0.0550714	1	1	0	35.2096
0.0600714	1	1	0	35.2081
0.0650714	1	1	0	35.2066
0.0660714	1	1	0	35.2062
0.0700714	1	1	0	35.205
0.0750714	1	1	0	35.2035
0.0800714	1	1	0	35.2019
0.0850714	1	1	0	35.2004
0.0900714	1	1	0	35.1989
0.0950714	1	1	0	35.1973
0.100071	1	1	0	35.1958
0.105071	1	1	0	35.1942
0.110071	1	1	0	35.1927
0.115071	1	1	0	35.1912
0.120071	1	1	0	35.1896
0.125071	1	1	0	35.1881
0.130071	1	1	0	35.1865
0.135071	1	1	0	35.185
0.140071	1	1	0	35.1834
0.145071	1	1	0	35.1819
0.146071	1	1	0	35.1816
0.150071	1	1	0	35.1804
0.155071	1	1	0	35.1788
0.160071	1	1	0	35.1773
0.165071	1	1	0	35.1757
0.170071	1	1	0	35.1742
0.175071	1	1	0	35.1726
0.180071	1	1	0	35.1711
0.185071	1	1	0	35.1695
0.190071	1	1	0	35.168
0.195071	1	1	0	35.1664
0.200071	1	1	0	35.1649
0.205071	1	1	0	35.1633
0.210071	1	1	0	35.1618
0.215071	1	1	0	35.1602
0.220071	1	1	0	35.1587
0.225071	1	1	0	35.1571
0.226071	1	1	0	35.1568
0.230071	1	1	0	35.1556
0.235071	1	1	0	35.154
0.240071	1	1	0	35.1525
0.245071	1	1	0	35.1509
0.250071	1	1	0	35.1494
0.255071	1	1	0	35.1478
0.260071	1	1	0	35.1463
0.265071	1	1	0	35.1447
0.270071	1	1	0	35.1432
0.275071	1	1	0	35.1416
0.280071	1	1	0	35.1401
0.285071	1	1	0	35.1385
0.290071	1	1	0	35.137
0.295071	1	1	0	35.1354
0.300071	1	1	0	35.1339
0.305071	1	1	0	35.1323
0.306071	1	1	0	35.132
0.310071	1	1	0	35.1307
0.315071	1	1	0	35.1292
0.320071	1	1	0	35.1276
0.325071	1	1	0	35.1261
0.330071	1	1	0	35.1245
0.335071	1	1	0	35.123
0.340071	1	1	0	35.1214
0.345071	1	1	0	35.1198
0.350071	1	1	0	35.1183
0.355071	1	1	0	35.1167
0.360071	1	1	0	35.1152
0.365071	1	1	0	35.1136
0.370071	1	1	0	35.112
0.375071	1	1	0	35.1105
0.380071	1	1	0	35.1089
0.385071	1	1	0	35.1074
0.386071	1	1	0	35.1071
0.390071	1	1	0	35.1058
0.395071	1	1	0	35.1042
0.400071	1	1	0	35.1027
0.405071	1	1	0	35.1011
0.410071	1	1	0	35.0996
0.415071	1	1	0	35.098
0.420071	1	1	0	35.0964
0.425071	1	1	0	35.0949
0.430071	1	1	0	35.0933
0.435071	1	1	0	35.0917
0.440071	1	1	0	35.0902
0.445071	1	1	0	35.0886
0.450071	1	1	0	35.087
0.455071	1	1	0	35.0855
0.460071	1	1	0	35.0839
0.465071	1	1	0	35.0823
0.466071	1	1	0	35.082
0.470071	1	1	0	35.0808
0.475071	1	1	0	35.0792
0.480071	1	1	0	35.0776
0.485071	1	1	0	35.0761
0.490071	1	1	0	35.0745
0.495071	1	1	0	35.0729
0.500071	1	1	0	35.0714
0.505071	1	1	0	35.0698
0.506071	1	1	0	35.0695
0.510071	1	1	0	35.0682
0.512071	1	1	0	35.0676
0.515071	1	1	0	35.0667
0.520071	1	1	0	35.0651
0.525071	1	1	0	35.0635
0.530071	1	1	0	35.0619
0.535071	1	1	0	35.0604
0.540071	1	1	0	35.0588
0.545071	1	1	0	35.0572
0.546071	1	1	0	35.0569
0.550071	1	1	0	35.0557
0.555071	1	1	0	35.0541
0.560071	1	1	0	35.0525
0.565071	1	1	0	35.0509
0.570071	1	1	0	35.0494
0.575071	1	1	0	35.0478
0.580071	1	1	0	35.0462
0.585071	1	1	0	35.0446
0.590071	1	1	0	35.0431
0.595071	1	1	0	35.0415
0.600071	1	1	0	35.0399
0.605071	1	1	0	35.0383
0.610071	1	1	0	35.0368
0.615071	1	1	0	35.0352
0.620071	1	1	0	35.0336
0.625071	1	1	0	35.032
0.626071	1	1	0	35.0317
0.630071	1	1	0	35.0304
0.635071	1	1	0	35.0289
0.640071	1	1	0	35.0273
0.645071	1	1	0	35.0257
0.650071	1	1	0	35.0241
0.655071	1	1	0	35.0225
0.660071	1	1	0	35.021
0.665071	1	1	0	35.0194
0.670071	1	1	0	35.0178
0.675071	1	1	0	35.0162
0.680071	1	1	0	35.0146
0.685071	1	1	0	35.0131
0.690071	1	1	0	35.0115
0.695071	1	1	0	35.0099
0.700071	1	1	0	35.0083
0.705071	1	1	0	35.0067
0.706071	1	1	0	35.0064
0.710071	1	1	0	35.0051
0.715071	1	1	0	35.0036
0.720071	1	1	0	35.002
0.725071	1	1	0	35.0004
0.730071	1	1	0	34.9988
0.735071	1	1	0	34.9972
0.740071	1	1	0	34.9956
0.745071	1	1	0	34.9941
0.750071	1	1	0	34.9925
