Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0	1	0	1	-91.9719
0.005	1	0	1	-91.9735
0.01	1	0	1	-91.975
0.015	1	0	1	-91.9765
0.02	1	0	1	-91.9781
0.025	1	0	1	-91.9796
0.03	1	0	1	-91.9811
0.035	1	0	1	-91.9827
0.04	1	0	1	-91.9842
0.045	1	0	1	-91.9858
0.05	1	0	1	-91.9873
0.055	1	0	1	-91.9888
0.06	1	0	1	-91.9904
0.065	1	0	1	-91.9919
0.066	1	0	1	-91.9922
0.07	1	0	1	-91.9934
0.075	1	0	1	-91.995
0.08	1	0	1	-91.9965
0.085	1	0	1	-91.9981
0.09	1	0	1	-91.9996
0.095	1	0	1	-92.0011
0.1	1	0	1	-92.0027
0.105	1	0	1	-92.0042
0.11	1	0	1	-92.0058
0.115	1	0	1	-92.0073
0.12	1	0	1	-92.0088
0.125	1	0	1	-92.0104
0.13	1	0	1	-92.0119
0.135	1	0	1	-92.0135
0.14	1	0	1	-92.015
0.145	1	0	1	-92.0166
0.146	1	0	1	-92.0169
0.15	1	0	1	-92.0181
0.155	1	0	1	-92.0197
0.16	1	0	1	-92.0212
0.165	1	0	1	-92.0227
0.17	1	0	1	-92.0243
0.175	1	0	1	-92.0258
0.18	1	0	1	-92.0274
0.185	1	0	1	-92.0289
0.19	1	0	1	-92.0305
0.195	1	0	1	-92.032
0.2	1	0	1	-92.0336
0.205	1	0	1	-92.0351
0.21	1	0	1	-92.0367
0.215	1	0	1	-92.0382
0.22	1	0	1	-92.0398
0.225	1	0	1	-92.0413
0.226	1	0	1	-92.0416
0.23	1	0	1	-92.0429
0.235	1	0	1	-92.0444
0.24	1	0	1	-92.046
0.245	1	0	1	-92.0475
0.25	1	0	1	-92.0491
0.255	1	0	1	-92.0506
0.26	1	0	1	-92.0522
0.265	1	0	1	-92.0537
0.27	1	0	1	-92.0553
0.275	1	0	1	-92.0568
0.28	1	0	1	-92.0584
0.285	1	0	1	-92.0599
0.29	1	0	1	-92.0615
0.295	1	0	1	-92.063
0.3	1	0	1	-92.0646
0.305	1	0	1	-92.0662
0.306	1	0	1	-92.0665
0.31	1	0	1	-92.0677
0.315	1	0	1	-92.0693
0.32	1	0	1	-92.0708
0.325	1	0	1	-92.0724
0.33	1	0	1	-92.0739
0.335	1	0	1	-92.0755
0.34	1	0	1	-92.0771
0.345	1	0	1	-92.0786
0.35	1	0	1	-92.0802
0.355	1	0	1	-92.0817
0.36	1	0	1	-92.0833
0.365	1	0	1	-92.0849
0.37	1	0	1	-92.0864
0.375	1	0	1	-92.088
0.38	1	0	1	-92.0895
0.385	1	0	1	-92.0911
0.386	1	0	1	-92.0914
0.39	1	0	1	-92.0927
0.395	1	0	1	-92.0942
0.4	1	0	1	-92.0958
0.405	1	0	1	-92.0973
0.41	1	0	1	-92.0989
0.415	1	0	1	-92.1005
0.42	1	0	1	-92.102
0.425	1	0	1	-92.1036
0.43	1	0	1	-92.1052
0.435	1	0	1	-92.1067
0.44	1	0	1	-92.1083
0.445	1	0	1	-92.1099
0.45	1	0	1	-92.1114
0.455	1	0	1	-92.113
0.46	1	0	1	-92.1146
0.465	1	0	1	-92.1161
0.466	1	0	1	-92.1164
0.47	1	0	1	-92.1177
0.475	1	0	1	-92.1193
0.48	1	0	1	-92.1208
0.485	1	0	1	-92.1224
0.49	1	0	1	-92.124
0.495	1	0	1	-92.1255
0.5	1	0	1	-92.1271
0.505	1	0	1	-92.1287
0.506	1	0	1	-92.129
0.51	1	0	1	-92.1302
0.512	1	0	1	-92.1309
0.515	1	0	1	-92.1318
0.52	1	0	1	-92.1334
0.525	1	0	1	-92.1349
0.53	1	0	1	-92.1365
0.535	1	0	1	-92.1381
0.54	1	0	1	-92.1397
0.545	1	0	1	-92.1412
0.546	1	0	1	-92.1415
0.55	1	0	1	-92.1428
0.555	1	0	1	-92.1444
0.56	1	0	1	-92.146
0.565	1	0	1	-92.1475
0.57	1	0	1	-92.1491
0.575	1	0	1	-92.1507
0.58	1	0	1	-92.1523
0.585	1	0	1	-92.1538
0.59	1	0	1	-92.1554
0.595	1	0	1	-92.157
0.6	1	0	1	-92.1586
0.605	1	0	1	-92.1601
0.61	1	0	1	-92.1617
0.615	1	0	1	-92.1633
0.62	1	0	1	-92.1649
0.625	1	0	1	-92.1664
