% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.018	1	0	0	1	2	2	0	12	1	0	1	0	0	84
0.504	1	0	0	1	50	8	0	12	1	15	1	0	0	84
0.51	1	0	0	1	51	4	0	2	11	15	1	0	1	1519
2.503	1	0	0	1	250	7	0	12	1	15	1	0	0	84
2.509	1	0	0	1	251	3	0	2	11	15	1	0	1	1519
4.503	1	0	0	1	450	7	0	12	1	15	1	0	0	84
4.509	1	0	0	1	451	3	0	2	11	15	1	0	1	1519
6.503	1	0	0	1	650	7	0	12	1	15	1	0	0	84
6.509	1	0	0	1	651	3	0	1	12	15	1	0	0	1047
6.51	1	0	0	1	651	4	0	8	5	14	1	0	0	435
6.515	1	0	0	1	651	9	0	10	3	15	1	0	0	260
8.503	1	0	0	1	850	7	0	12	1	15	1	0	0	84
8.508	1	0	0	1	851	2	0	12	1	15	0	1	0	84
8.514	1	0	0	1	851	8	0	1	12	15	1	0	0	1047
8.515	1	0	0	1	851	9	0	8	5	14	1	0	0	435
8.52	1	0	0	1	852	4	0	10	3	15	1	0	0	260
10.503	1	0	0	1	1050	7	0	12	1	15	1	0	0	84
10.508	1	0	0	1	1051	2	0	12	1	15	0	1	0	84
10.513	1	0	0	1	1051	7	0	12	1	15	0	2	0	84
10.519	1	0	0	1	1052	3	0	1	12	15	1	0	0	1047
10.52	1	0	0	1	1052	4	0	8	5	14	1	0	0	435
10.524	1	0	0	1	1052	8	0	1	12	15	0	1	0	1047
10.525	1	0	0	1	1052	9	0	8	5	14	0	1	0	435
10.529	1	0	0	1	1053	3	0	1	12	15	0	2	0	1047
10.53	1	0	0	1	1053	4	0	8	5	14	0	2	0	435
10.534	1	0	0	1	1053	8	0	1	12	15	0	3	0	1047
10.535	1	0	0	1	1053	9	0	8	5	14	0	3	0	435
12.503	1	0	0	1	1250	7	0	12	1	15	1	0	0	84
12.508	1	0	0	1	1251	2	0	12	1	15	0	1	0	84
12.513	1	0	0	1	1251	7	0	12	1	15	0	2	0	84
12.518	1	0	0	1	1252	2	0	12	1	15	0	3	0	84
12.529	1	0	0	1	1253	3	0	12	1	15	1	0	0	84
12.534	1	0	0	1	1253	8	0	12	1	15	0	1	0	84
12.539	1	0	0	1	1254	3	0	12	1	15	0	2	0	84
12.544	1	0	0	1	1254	8	0	11	1	15	0	3	0	84
12.555	1	0	0	1	1255	9	0	12	1	15	1	0	0	84
12.56	1	0	0	1	1256	4	0	12	1	15	0	1	0	84
12.566	1	0	0	1	1257	0	0	1	12	15	1	0	0	1047
12.567	1	0	0	1	1257	1	0	8	5	14	1	0	0	435
12.572	1	0	0	1	1257	6	0	12	1	15	1	0	0	84
14.503	1	0	0	1	1450	7	0	12	1	15	1	0	0	84
14.509	1	0	0	1	1451	3	0	1	12	15	1	0	0	1047
14.51	1	0	0	1	1451	4	0	8	5	14	1	0	0	435
14.515	1	0	0	1	1451	9	0	10	3	15	1	0	0	260
16.503	1	0	0	1	1650	7	0	12	1	15	1	0	0	84
16.509	1	0	0	1	1651	3	0	2	11	15	1	0	1	1519
18.503	1	0	0	1	1850	7	0	12	1	15	1	0	0	84
18.509	1	0	0	1	1851	3	0	2	11	15	1	0	1	1519
