time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.509029	1	1	4	76	0.00295714
0.515029	1	1	4	1208	0.00295714
2.50803	1	1	4	76	0.00295714
2.51403	1	1	4	1208	0.00295714
4.50803	1	1	4	76	0.00295714
4.51403	1	1	4	1208	0.00295714
6.50803	1	1	4	76	0.00295714
6.51403	1	1	4	1039	0.00295714
6.51503	1	1	4	171	0.00295714
8.51303	1	1	4	76	0.00795714
8.51903	1	1	4	1039	0.00295714
8.52003	1	1	4	171	0.00295714
10.518	1	1	4	76	0.0129571
12.565	1	1	4	76	0.00795714
12.571	1	1	4	1039	0.00295714
12.572	1	1	4	23	0.00295714
14.508	1	1	4	76	0.00295714
14.514	1	1	4	1039	0.00295714
14.515	1	1	4	171	0.00295714
16.508	1	1	4	76	0.00295714
16.514	1	1	4	1208	0.00295714
18.508	1	1	4	76	0.00295714
18.514	1	1	4	1208	0.00295714
