time(s)	cellId	rnti	lcid	packetSize
0.506071	1	1	4	76
0.512071	1	1	4	1208
2.50507	1	1	4	76
2.51107	1	1	4	1208
4.50507	1	1	4	76
4.51107	1	1	4	1208
6.50507	1	1	4	76
6.51107	1	1	4	1039
6.51207	1	1	4	171
8.50507	1	1	4	76
8.51607	1	1	4	1039
8.51707	1	1	4	171
10.5051	1	1	4	76
10.5211	1	1	4	1039
10.5221	1	1	4	171
12.5051	1	1	4	76
12.5311	1	1	4	76
12.5571	1	1	4	76
12.5681	1	1	4	1039
12.5691	1	1	4	23
14.5051	1	1	4	76
14.5111	1	1	4	1039
14.5121	1	1	4	171
16.5051	1	1	4	76
16.5111	1	1	4	1208
18.5051	1	1	4	76
18.5111	1	1	4	1208
