Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.508929	UL	50	8	0	12	1	1	0	1	84	0	1	0	2.06858	255	0	0
0.508929	UL	50	8	0	12	1	1	0	1	84	0	1	0	2.06858	255	0	0
0.514929	UL	51	4	0	2	11	1	0	1	1519	1	1	0	2.06692	255	0	0
0.514929	UL	51	4	0	2	11	1	0	1	1519	1	1	0	2.06692	255	0	0
2.50793	UL	250	7	0	12	1	1	0	1	84	0	1	0	1.41572	255	0	0
2.50793	UL	250	7	0	12	1	1	0	1	84	0	1	0	1.41572	255	0	0
2.51393	UL	251	3	0	2	11	1	0	1	1519	1	1	0	1.41393	255	0	0
2.51393	UL	251	3	0	2	11	1	0	1	1519	1	1	0	1.41393	255	0	0
4.50793	UL	450	7	0	12	1	1	0	1	84	0	1	0	0.721399	255	0	0
4.50793	UL	450	7	0	12	1	1	0	1	84	0	1	0	0.721399	255	0	0
4.51393	UL	451	3	0	2	11	1	0	1	1519	1	1	0	0.719521	255	0	0.033179
4.51393	UL	451	3	0	2	11	1	0	1	1519	1	1	0	0.719521	255	0	0.033179
6.50793	UL	650	7	0	12	1	1	0	1	84	0	1	0	-0.00150952	255	0	0.0014
6.50793	UL	650	7	0	12	1	1	0	1	84	0	1	0	-0.00150952	255	0	0.0014
6.51393	UL	651	3	0	1	12	1	0	1	1047	0	1	0	-0.00342192	255	0	0.00029997
6.51393	UL	651	3	0	1	12	1	0	1	1047	0	1	0	-0.00342192	255	0	0.00029997
6.51493	UL	651	4	0	8	5	1	0	1	435	0	1	0	-0.00397209	255	0	0
6.51493	UL	651	4	0	8	5	1	0	1	435	0	1	0	-0.00397209	255	0	0
6.51993	UL	651	9	0	10	3	1	0	1	260	0	1	0	-0.00585844	255	0	0
8.50793	UL	850	7	0	12	1	1	0	1	84	0	1	0	-0.742392	255	1	0.791149
8.50793	UL	850	7	0	12	1	1	0	1	84	0	1	0	-0.742392	255	1	0.791149
8.51293	UL	851	2	0	12	1	1	0	1	84	0	1	1	-0.744259	255	0	0.791149
8.51293	UL	851	2	0	12	1	1	0	1	84	0	1	1	-0.744259	255	0	0.791149
8.51893	UL	851	8	0	1	12	1	0	1	1047	0	1	0	-0.746206	255	0	0.00956931
8.51893	UL	851	8	0	1	12	1	0	1	1047	0	1	0	-0.746206	255	0	0.00956931
8.51993	UL	851	9	0	8	5	1	0	1	435	0	1	0	-0.746766	255	0	0.021
8.51993	UL	851	9	0	8	5	1	0	1	435	0	1	0	-0.746766	255	0	0.021
8.52493	UL	852	4	0	10	3	1	0	1	260	0	1	0	-0.748687	255	0	0.0641
10.5079	UL	1050	7	0	12	1	1	0	1	84	0	1	0	-1.48664	255	1	0.791149
10.5079	UL	1050	7	0	12	1	1	0	1	84	0	1	0	-1.48664	255	1	0.791149
10.5129	UL	1051	2	0	12	1	1	0	1	84	0	1	1	-1.48476	255	1	0.791149
10.5129	UL	1051	2	0	12	1	1	0	1	84	0	1	1	-1.48476	255	1	0.791149
10.5179	UL	1051	7	0	12	1	1	0	1	84	0	1	2	-1.48288	255	0	0.791149
10.5179	UL	1051	7	0	12	1	1	0	1	84	0	1	2	-1.48288	255	0	0.791149
10.5239	UL	1052	3	0	1	12	1	0	1	1047	0	1	0	-1.48092	255	1	1
10.5239	UL	1052	3	0	1	12	1	0	1	1047	0	1	0	-1.48092	255	1	1
10.5249	UL	1052	4	0	8	5	1	0	1	435	0	1	0	-1.48035	255	1	0.976145
10.5249	UL	1052	4	0	8	5	1	0	1	435	0	1	0	-1.48035	255	1	0.976145
10.5289	UL	1052	8	0	1	12	1	0	1	1047	0	1	1	-1.47904	255	1	1
10.5289	UL	1052	8	0	1	12	1	0	1	1047	0	1	1	-1.47904	255	1	1
10.5299	UL	1052	9	0	8	5	1	0	1	435	0	1	1	-1.47847	255	1	0.976145
10.5299	UL	1052	9	0	8	5	1	0	1	435	0	1	1	-1.47847	255	1	0.976145
10.5339	UL	1053	3	0	1	12	1	0	1	1047	0	1	2	-1.47716	255	1	1
10.5339	UL	1053	3	0	1	12	1	0	1	1047	0	1	2	-1.47716	255	1	1
10.5349	UL	1053	4	0	8	5	1	0	1	435	0	1	2	-1.47659	255	1	0.976145
10.5349	UL	1053	4	0	8	5	1	0	1	435	0	1	2	-1.47659	255	1	0.976145
10.5389	UL	1053	8	0	1	12	1	0	1	1047	0	1	3	-1.47527	255	1	1
10.5389	UL	1053	8	0	1	12	1	0	1	1047	0	1	3	-1.47527	255	1	1
10.5399	UL	1053	9	0	8	5	1	0	1	435	0	1	3	-1.47471	255	1	0.976145
10.5399	UL	1053	9	0	8	5	1	0	1	435	0	1	3	-1.47471	255	1	0.976145
12.5079	UL	1250	7	0	12	1	1	0	1	84	0	1	0	-0.736524	255	1	0.791149
12.5079	UL	1250	7	0	12	1	1	0	1	84	0	1	0	-0.736524	255	1	0.791149
12.5129	UL	1251	2	0	12	1	1	0	1	84	0	1	1	-0.734658	255	1	0.791149
12.5129	UL	1251	2	0	12	1	1	0	1	84	0	1	1	-0.734658	255	1	0.791149
12.5179	UL	1251	7	0	12	1	1	0	1	84	0	1	2	-0.732791	255	1	0.791149
12.5179	UL	1251	7	0	12	1	1	0	1	84	0	1	2	-0.732791	255	1	0.791149
12.5229	UL	1252	2	0	12	1	1	0	1	84	0	1	3	-0.730924	255	1	0.791149
12.5229	UL	1252	2	0	12	1	1	0	1	84	0	1	3	-0.730924	255	1	0.791149
12.5339	UL	1253	3	0	12	1	1	0	1	84	0	1	0	-0.726817	255	1	0.791149
12.5339	UL	1253	3	0	12	1	1	0	1	84	0	1	0	-0.726817	255	1	0.791149
12.5389	UL	1253	8	0	12	1	1	0	1	84	0	1	1	-0.724951	255	1	0.791149
12.5389	UL	1253	8	0	12	1	1	0	1	84	0	1	1	-0.724951	255	1	0.791149
12.5439	UL	1254	3	0	12	1	1	0	1	84	0	1	2	-0.723084	255	1	0.791149
12.5439	UL	1254	3	0	12	1	1	0	1	84	0	1	2	-0.723084	255	1	0.791149
12.5489	UL	1254	8	0	11	1	1	0	1	84	0	1	3	-0.721245	255	1	0.791149
12.5489	UL	1254	8	0	11	1	1	0	1	84	0	1	3	-0.721245	255	1	0.791149
12.5599	UL	1255	9	0	12	1	1	0	1	84	0	1	0	-0.717112	255	1	0.791149
12.5599	UL	1255	9	0	12	1	1	0	1	84	0	1	0	-0.717112	255	1	0.791149
12.5649	UL	1256	4	0	12	1	1	0	1	84	0	1	1	-0.715246	255	0	0.791149
12.5649	UL	1256	4	0	12	1	1	0	1	84	0	1	1	-0.715246	255	0	0.791149
12.5709	UL	1257	0	0	1	12	1	0	1	1047	0	1	0	-0.7133	255	0	0.00956931
12.5709	UL	1257	0	0	1	12	1	0	1	1047	0	1	0	-0.7133	255	0	0.00956931
12.5719	UL	1257	1	0	8	5	1	0	1	435	0	1	0	-0.71274	255	0	0.021
12.5719	UL	1257	1	0	8	5	1	0	1	435	0	1	0	-0.71274	255	0	0.021
12.5769	UL	1257	6	0	12	1	1	0	1	84	0	1	0	-0.710767	255	0	0.791149
14.5079	UL	1450	7	0	12	1	1	0	1	84	0	1	0	0.00425315	255	0	0.0014
14.5079	UL	1450	7	0	12	1	1	0	1	84	0	1	0	0.00425315	255	0	0.0014
14.5139	UL	1451	3	0	1	12	1	0	1	1047	0	1	0	0.00616506	255	0	0.00029997
14.5139	UL	1451	3	0	1	12	1	0	1	1047	0	1	0	0.00616506	255	0	0.00029997
14.5149	UL	1451	4	0	8	5	1	0	1	435	0	1	0	0.00671504	255	0	0
14.5149	UL	1451	4	0	8	5	1	0	1	435	0	1	0	0.00671504	255	0	0
14.5199	UL	1451	9	0	10	3	1	0	1	260	0	1	0	0.00860061	255	0	0
16.5079	UL	1650	7	0	12	1	1	0	1	84	0	1	0	0.726981	255	0	0
16.5079	UL	1650	7	0	12	1	1	0	1	84	0	1	0	0.726981	255	0	0
16.5139	UL	1651	3	0	2	11	1	0	1	1519	1	1	0	0.728858	255	0	0.00119946
16.5139	UL	1651	3	0	2	11	1	0	1	1519	1	1	0	0.728858	255	0	0.00119946
18.5079	UL	1850	7	0	12	1	1	0	1	84	0	1	0	1.42103	255	0	0
18.5079	UL	1850	7	0	12	1	1	0	1	84	0	1	0	1.42103	255	0	0
18.5139	UL	1851	3	0	2	11	1	0	1	1519	1	1	0	1.42282	255	0	0
18.5139	UL	1851	3	0	2	11	1	0	1	1519	1	1	0	1.42282	255	0	0
