Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.0689286	gNB PHY Rxed	6	8	0	1	0	0	SRS
0.148929	gNB PHY Rxed	14	8	0	1	0	0	SRS
0.228929	gNB PHY Rxed	22	8	0	1	0	0	SRS
0.308929	gNB PHY Rxed	30	8	0	1	0	0	SRS
0.388929	gNB PHY Rxed	38	8	0	1	0	0	SRS
0.468929	gNB PHY Rxed	46	8	0	1	0	0	SRS
0.504	gNB PHY Rxed	50	3	0	1	0	0	SR
0.548929	gNB PHY Rxed	54	8	0	1	0	0	SRS
0.628929	gNB PHY Rxed	62	8	0	1	0	0	SRS
0.708929	gNB PHY Rxed	70	8	0	1	0	0	SRS
0.788929	gNB PHY Rxed	78	8	0	1	0	0	SRS
0.868929	gNB PHY Rxed	86	8	0	1	0	0	SRS
0.948929	gNB PHY Rxed	94	8	0	1	0	0	SRS
1.02893	gNB PHY Rxed	102	8	0	1	0	0	SRS
1.10893	gNB PHY Rxed	110	8	0	1	0	0	SRS
1.18893	gNB PHY Rxed	118	8	0	1	0	0	SRS
1.26893	gNB PHY Rxed	126	8	0	1	0	0	SRS
1.34893	gNB PHY Rxed	134	8	0	1	0	0	SRS
1.42893	gNB PHY Rxed	142	8	0	1	0	0	SRS
1.50893	gNB PHY Rxed	150	8	0	1	0	0	SRS
1.58893	gNB PHY Rxed	158	8	0	1	0	0	SRS
1.66893	gNB PHY Rxed	166	8	0	1	0	0	SRS
1.74893	gNB PHY Rxed	174	8	0	1	0	0	SRS
1.82893	gNB PHY Rxed	182	8	0	1	0	0	SRS
1.90893	gNB PHY Rxed	190	8	0	1	0	0	SRS
1.98893	gNB PHY Rxed	198	8	0	1	0	0	SRS
2.06893	gNB PHY Rxed	206	8	0	1	0	0	SRS
2.14893	gNB PHY Rxed	214	8	0	1	0	0	SRS
2.22893	gNB PHY Rxed	222	8	0	1	0	0	SRS
2.30893	gNB PHY Rxed	230	8	0	1	0	0	SRS
2.38893	gNB PHY Rxed	238	8	0	1	0	0	SRS
2.46893	gNB PHY Rxed	246	8	0	1	0	0	SRS
2.503	gNB PHY Rxed	250	2	0	1	0	0	SR
2.54893	gNB PHY Rxed	254	8	0	1	0	0	SRS
2.62893	gNB PHY Rxed	262	8	0	1	0	0	SRS
2.70893	gNB PHY Rxed	270	8	0	1	0	0	SRS
2.78893	gNB PHY Rxed	278	8	0	1	0	0	SRS
2.86893	gNB PHY Rxed	286	8	0	1	0	0	SRS
2.94893	gNB PHY Rxed	294	8	0	1	0	0	SRS
3.02893	gNB PHY Rxed	302	8	0	1	0	0	SRS
3.10893	gNB PHY Rxed	310	8	0	1	0	0	SRS
3.18893	gNB PHY Rxed	318	8	0	1	0	0	SRS
3.26893	gNB PHY Rxed	326	8	0	1	0	0	SRS
3.34893	gNB PHY Rxed	334	8	0	1	0	0	SRS
3.42893	gNB PHY Rxed	342	8	0	1	0	0	SRS
3.50893	gNB PHY Rxed	350	8	0	1	0	0	SRS
3.58893	gNB PHY Rxed	358	8	0	1	0	0	SRS
3.66893	gNB PHY Rxed	366	8	0	1	0	0	SRS
3.74893	gNB PHY Rxed	374	8	0	1	0	0	SRS
3.82893	gNB PHY Rxed	382	8	0	1	0	0	SRS
3.90893	gNB PHY Rxed	390	8	0	1	0	0	SRS
3.98893	gNB PHY Rxed	398	8	0	1	0	0	SRS
4.06893	gNB PHY Rxed	406	8	0	1	0	0	SRS
4.14893	gNB PHY Rxed	414	8	0	1	0	0	SRS
4.22893	gNB PHY Rxed	422	8	0	1	0	0	SRS
4.30893	gNB PHY Rxed	430	8	0	1	0	0	SRS
4.38893	gNB PHY Rxed	438	8	0	1	0	0	SRS
4.46893	gNB PHY Rxed	446	8	0	1	0	0	SRS
4.503	gNB PHY Rxed	450	2	0	1	0	0	SR
4.54893	gNB PHY Rxed	454	8	0	1	0	0	SRS
4.62893	gNB PHY Rxed	462	8	0	1	0	0	SRS
4.70893	gNB PHY Rxed	470	8	0	1	0	0	SRS
4.78893	gNB PHY Rxed	478	8	0	1	0	0	SRS
4.86893	gNB PHY Rxed	486	8	0	1	0	0	SRS
4.94893	gNB PHY Rxed	494	8	0	1	0	0	SRS
5.02893	gNB PHY Rxed	502	8	0	1	0	0	SRS
5.10893	gNB PHY Rxed	510	8	0	1	0	0	SRS
5.18893	gNB PHY Rxed	518	8	0	1	0	0	SRS
5.26893	gNB PHY Rxed	526	8	0	1	0	0	SRS
5.34893	gNB PHY Rxed	534	8	0	1	0	0	SRS
5.42893	gNB PHY Rxed	542	8	0	1	0	0	SRS
5.50893	gNB PHY Rxed	550	8	0	1	0	0	SRS
5.58893	gNB PHY Rxed	558	8	0	1	0	0	SRS
5.66893	gNB PHY Rxed	566	8	0	1	0	0	SRS
5.74893	gNB PHY Rxed	574	8	0	1	0	0	SRS
5.82893	gNB PHY Rxed	582	8	0	1	0	0	SRS
5.90893	gNB PHY Rxed	590	8	0	1	0	0	SRS
5.98893	gNB PHY Rxed	598	8	0	1	0	0	SRS
6.06893	gNB PHY Rxed	606	8	0	1	0	0	SRS
6.14893	gNB PHY Rxed	614	8	0	1	0	0	SRS
6.22893	gNB PHY Rxed	622	8	0	1	0	0	SRS
6.30893	gNB PHY Rxed	630	8	0	1	0	0	SRS
6.38893	gNB PHY Rxed	638	8	0	1	0	0	SRS
6.46893	gNB PHY Rxed	646	8	0	1	0	0	SRS
6.503	gNB PHY Rxed	650	2	0	1	0	0	SR
6.54893	gNB PHY Rxed	654	8	0	1	0	0	SRS
6.62893	gNB PHY Rxed	662	8	0	1	0	0	SRS
6.70893	gNB PHY Rxed	670	8	0	1	0	0	SRS
6.78893	gNB PHY Rxed	678	8	0	1	0	0	SRS
6.86893	gNB PHY Rxed	686	8	0	1	0	0	SRS
6.94893	gNB PHY Rxed	694	8	0	1	0	0	SRS
7.02893	gNB PHY Rxed	702	8	0	1	0	0	SRS
7.10893	gNB PHY Rxed	710	8	0	1	0	0	SRS
7.18893	gNB PHY Rxed	718	8	0	1	0	0	SRS
7.26893	gNB PHY Rxed	726	8	0	1	0	0	SRS
7.34893	gNB PHY Rxed	734	8	0	1	0	0	SRS
7.42893	gNB PHY Rxed	742	8	0	1	0	0	SRS
7.50893	gNB PHY Rxed	750	8	0	1	0	0	SRS
7.58893	gNB PHY Rxed	758	8	0	1	0	0	SRS
7.66893	gNB PHY Rxed	766	8	0	1	0	0	SRS
7.74893	gNB PHY Rxed	774	8	0	1	0	0	SRS
7.82893	gNB PHY Rxed	782	8	0	1	0	0	SRS
7.90893	gNB PHY Rxed	790	8	0	1	0	0	SRS
7.98893	gNB PHY Rxed	798	8	0	1	0	0	SRS
8.06893	gNB PHY Rxed	806	8	0	1	0	0	SRS
8.14893	gNB PHY Rxed	814	8	0	1	0	0	SRS
8.22893	gNB PHY Rxed	822	8	0	1	0	0	SRS
8.30893	gNB PHY Rxed	830	8	0	1	0	0	SRS
8.38893	gNB PHY Rxed	838	8	0	1	0	0	SRS
8.46893	gNB PHY Rxed	846	8	0	1	0	0	SRS
8.503	gNB PHY Rxed	850	2	0	1	0	0	SR
8.54893	gNB PHY Rxed	854	8	0	1	0	0	SRS
8.62893	gNB PHY Rxed	862	8	0	1	0	0	SRS
8.70893	gNB PHY Rxed	870	8	0	1	0	0	SRS
8.78893	gNB PHY Rxed	878	8	0	1	0	0	SRS
8.86893	gNB PHY Rxed	886	8	0	1	0	0	SRS
8.94893	gNB PHY Rxed	894	8	0	1	0	0	SRS
9.02893	gNB PHY Rxed	902	8	0	1	0	0	SRS
9.10893	gNB PHY Rxed	910	8	0	1	0	0	SRS
9.18893	gNB PHY Rxed	918	8	0	1	0	0	SRS
9.26893	gNB PHY Rxed	926	8	0	1	0	0	SRS
9.34893	gNB PHY Rxed	934	8	0	1	0	0	SRS
9.42893	gNB PHY Rxed	942	8	0	1	0	0	SRS
9.50893	gNB PHY Rxed	950	8	0	1	0	0	SRS
9.58893	gNB PHY Rxed	958	8	0	1	0	0	SRS
9.66893	gNB PHY Rxed	966	8	0	1	0	0	SRS
9.74893	gNB PHY Rxed	974	8	0	1	0	0	SRS
9.82893	gNB PHY Rxed	982	8	0	1	0	0	SRS
9.90893	gNB PHY Rxed	990	8	0	1	0	0	SRS
9.98893	gNB PHY Rxed	998	8	0	1	0	0	SRS
10.0689	gNB PHY Rxed	1006	8	0	1	0	0	SRS
10.1489	gNB PHY Rxed	1014	8	0	1	0	0	SRS
10.2289	gNB PHY Rxed	1022	8	0	1	0	0	SRS
10.3089	gNB PHY Rxed	1030	8	0	1	0	0	SRS
10.3889	gNB PHY Rxed	1038	8	0	1	0	0	SRS
10.4689	gNB PHY Rxed	1046	8	0	1	0	0	SRS
10.503	gNB PHY Rxed	1050	2	0	1	0	0	SR
10.5489	gNB PHY Rxed	1054	8	0	1	0	0	SRS
10.6289	gNB PHY Rxed	1062	8	0	1	0	0	SRS
10.7089	gNB PHY Rxed	1070	8	0	1	0	0	SRS
10.7889	gNB PHY Rxed	1078	8	0	1	0	0	SRS
10.8689	gNB PHY Rxed	1086	8	0	1	0	0	SRS
10.9489	gNB PHY Rxed	1094	8	0	1	0	0	SRS
11.0289	gNB PHY Rxed	1102	8	0	1	0	0	SRS
11.1089	gNB PHY Rxed	1110	8	0	1	0	0	SRS
11.1889	gNB PHY Rxed	1118	8	0	1	0	0	SRS
11.2689	gNB PHY Rxed	1126	8	0	1	0	0	SRS
11.3489	gNB PHY Rxed	1134	8	0	1	0	0	SRS
11.4289	gNB PHY Rxed	1142	8	0	1	0	0	SRS
11.5089	gNB PHY Rxed	1150	8	0	1	0	0	SRS
11.5889	gNB PHY Rxed	1158	8	0	1	0	0	SRS
11.6689	gNB PHY Rxed	1166	8	0	1	0	0	SRS
11.7489	gNB PHY Rxed	1174	8	0	1	0	0	SRS
11.8289	gNB PHY Rxed	1182	8	0	1	0	0	SRS
11.9089	gNB PHY Rxed	1190	8	0	1	0	0	SRS
11.9889	gNB PHY Rxed	1198	8	0	1	0	0	SRS
12.0689	gNB PHY Rxed	1206	8	0	1	0	0	SRS
12.1489	gNB PHY Rxed	1214	8	0	1	0	0	SRS
12.2289	gNB PHY Rxed	1222	8	0	1	0	0	SRS
12.3089	gNB PHY Rxed	1230	8	0	1	0	0	SRS
12.3889	gNB PHY Rxed	1238	8	0	1	0	0	SRS
12.4689	gNB PHY Rxed	1246	8	0	1	0	0	SRS
12.503	gNB PHY Rxed	1250	2	0	1	0	0	SR
12.529	gNB PHY Rxed	1252	8	0	1	0	0	SR
12.5489	gNB PHY Rxed	1254	8	0	1	0	0	SRS
12.555	gNB PHY Rxed	1255	4	0	1	0	0	SR
12.6289	gNB PHY Rxed	1262	8	0	1	0	0	SRS
12.7089	gNB PHY Rxed	1270	8	0	1	0	0	SRS
12.7889	gNB PHY Rxed	1278	8	0	1	0	0	SRS
12.8689	gNB PHY Rxed	1286	8	0	1	0	0	SRS
12.9489	gNB PHY Rxed	1294	8	0	1	0	0	SRS
13.0289	gNB PHY Rxed	1302	8	0	1	0	0	SRS
13.1089	gNB PHY Rxed	1310	8	0	1	0	0	SRS
13.1889	gNB PHY Rxed	1318	8	0	1	0	0	SRS
13.2689	gNB PHY Rxed	1326	8	0	1	0	0	SRS
13.3489	gNB PHY Rxed	1334	8	0	1	0	0	SRS
13.4289	gNB PHY Rxed	1342	8	0	1	0	0	SRS
13.5089	gNB PHY Rxed	1350	8	0	1	0	0	SRS
13.5889	gNB PHY Rxed	1358	8	0	1	0	0	SRS
13.6689	gNB PHY Rxed	1366	8	0	1	0	0	SRS
13.7489	gNB PHY Rxed	1374	8	0	1	0	0	SRS
13.8289	gNB PHY Rxed	1382	8	0	1	0	0	SRS
13.9089	gNB PHY Rxed	1390	8	0	1	0	0	SRS
13.9889	gNB PHY Rxed	1398	8	0	1	0	0	SRS
14.0689	gNB PHY Rxed	1406	8	0	1	0	0	SRS
14.1489	gNB PHY Rxed	1414	8	0	1	0	0	SRS
14.2289	gNB PHY Rxed	1422	8	0	1	0	0	SRS
14.3089	gNB PHY Rxed	1430	8	0	1	0	0	SRS
14.3889	gNB PHY Rxed	1438	8	0	1	0	0	SRS
14.4689	gNB PHY Rxed	1446	8	0	1	0	0	SRS
14.503	gNB PHY Rxed	1450	2	0	1	0	0	SR
14.5489	gNB PHY Rxed	1454	8	0	1	0	0	SRS
14.6289	gNB PHY Rxed	1462	8	0	1	0	0	SRS
14.7089	gNB PHY Rxed	1470	8	0	1	0	0	SRS
14.7889	gNB PHY Rxed	1478	8	0	1	0	0	SRS
14.8689	gNB PHY Rxed	1486	8	0	1	0	0	SRS
14.9489	gNB PHY Rxed	1494	8	0	1	0	0	SRS
15.0289	gNB PHY Rxed	1502	8	0	1	0	0	SRS
15.1089	gNB PHY Rxed	1510	8	0	1	0	0	SRS
15.1889	gNB PHY Rxed	1518	8	0	1	0	0	SRS
15.2689	gNB PHY Rxed	1526	8	0	1	0	0	SRS
15.3489	gNB PHY Rxed	1534	8	0	1	0	0	SRS
15.4289	gNB PHY Rxed	1542	8	0	1	0	0	SRS
15.5089	gNB PHY Rxed	1550	8	0	1	0	0	SRS
15.5889	gNB PHY Rxed	1558	8	0	1	0	0	SRS
15.6689	gNB PHY Rxed	1566	8	0	1	0	0	SRS
15.7489	gNB PHY Rxed	1574	8	0	1	0	0	SRS
15.8289	gNB PHY Rxed	1582	8	0	1	0	0	SRS
15.9089	gNB PHY Rxed	1590	8	0	1	0	0	SRS
15.9889	gNB PHY Rxed	1598	8	0	1	0	0	SRS
16.0689	gNB PHY Rxed	1606	8	0	1	0	0	SRS
16.1489	gNB PHY Rxed	1614	8	0	1	0	0	SRS
16.2289	gNB PHY Rxed	1622	8	0	1	0	0	SRS
16.3089	gNB PHY Rxed	1630	8	0	1	0	0	SRS
16.3889	gNB PHY Rxed	1638	8	0	1	0	0	SRS
16.4689	gNB PHY Rxed	1646	8	0	1	0	0	SRS
16.503	gNB PHY Rxed	1650	2	0	1	0	0	SR
16.5489	gNB PHY Rxed	1654	8	0	1	0	0	SRS
16.6289	gNB PHY Rxed	1662	8	0	1	0	0	SRS
16.7089	gNB PHY Rxed	1670	8	0	1	0	0	SRS
16.7889	gNB PHY Rxed	1678	8	0	1	0	0	SRS
16.8689	gNB PHY Rxed	1686	8	0	1	0	0	SRS
16.9489	gNB PHY Rxed	1694	8	0	1	0	0	SRS
17.0289	gNB PHY Rxed	1702	8	0	1	0	0	SRS
17.1089	gNB PHY Rxed	1710	8	0	1	0	0	SRS
17.1889	gNB PHY Rxed	1718	8	0	1	0	0	SRS
17.2689	gNB PHY Rxed	1726	8	0	1	0	0	SRS
17.3489	gNB PHY Rxed	1734	8	0	1	0	0	SRS
