Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0688571	UE  PHY Txed	6	8	0	1	1	0	SRS
0.148857	UE  PHY Txed	14	8	0	1	1	0	SRS
0.228857	UE  PHY Txed	22	8	0	1	1	0	SRS
0.308857	UE  PHY Txed	30	8	0	1	1	0	SRS
0.388857	UE  PHY Txed	38	8	0	1	1	0	SRS
0.468857	UE  PHY Txed	46	8	0	1	1	0	SRS
0.503929	UE  PHY Txed	50	3	0	1	0	0	SR
0.548857	UE  PHY Txed	54	8	0	1	1	0	SRS
0.628857	UE  PHY Txed	62	8	0	1	1	0	SRS
0.708857	UE  PHY Txed	70	8	0	1	1	0	SRS
0.788857	UE  PHY Txed	78	8	0	1	1	0	SRS
0.868857	UE  PHY Txed	86	8	0	1	1	0	SRS
0.948857	UE  PHY Txed	94	8	0	1	1	0	SRS
1.02886	UE  PHY Txed	102	8	0	1	1	0	SRS
1.10886	UE  PHY Txed	110	8	0	1	1	0	SRS
1.18886	UE  PHY Txed	118	8	0	1	1	0	SRS
1.26886	UE  PHY Txed	126	8	0	1	1	0	SRS
1.34886	UE  PHY Txed	134	8	0	1	1	0	SRS
1.42886	UE  PHY Txed	142	8	0	1	1	0	SRS
1.50886	UE  PHY Txed	150	8	0	1	1	0	SRS
1.58886	UE  PHY Txed	158	8	0	1	1	0	SRS
1.66886	UE  PHY Txed	166	8	0	1	1	0	SRS
1.74886	UE  PHY Txed	174	8	0	1	1	0	SRS
1.82886	UE  PHY Txed	182	8	0	1	1	0	SRS
1.90886	UE  PHY Txed	190	8	0	1	1	0	SRS
1.98886	UE  PHY Txed	198	8	0	1	1	0	SRS
2.06886	UE  PHY Txed	206	8	0	1	1	0	SRS
2.14886	UE  PHY Txed	214	8	0	1	1	0	SRS
2.22886	UE  PHY Txed	222	8	0	1	1	0	SRS
2.30886	UE  PHY Txed	230	8	0	1	1	0	SRS
2.38886	UE  PHY Txed	238	8	0	1	1	0	SRS
2.46886	UE  PHY Txed	246	8	0	1	1	0	SRS
2.50293	UE  PHY Txed	250	2	0	1	0	0	SR
2.54886	UE  PHY Txed	254	8	0	1	1	0	SRS
2.62886	UE  PHY Txed	262	8	0	1	1	0	SRS
2.70886	UE  PHY Txed	270	8	0	1	1	0	SRS
2.78886	UE  PHY Txed	278	8	0	1	1	0	SRS
2.86886	UE  PHY Txed	286	8	0	1	1	0	SRS
2.94886	UE  PHY Txed	294	8	0	1	1	0	SRS
3.02886	UE  PHY Txed	302	8	0	1	1	0	SRS
3.10886	UE  PHY Txed	310	8	0	1	1	0	SRS
3.18886	UE  PHY Txed	318	8	0	1	1	0	SRS
3.26886	UE  PHY Txed	326	8	0	1	1	0	SRS
3.34886	UE  PHY Txed	334	8	0	1	1	0	SRS
3.42886	UE  PHY Txed	342	8	0	1	1	0	SRS
3.50886	UE  PHY Txed	350	8	0	1	1	0	SRS
3.58886	UE  PHY Txed	358	8	0	1	1	0	SRS
3.66886	UE  PHY Txed	366	8	0	1	1	0	SRS
3.74886	UE  PHY Txed	374	8	0	1	1	0	SRS
3.82886	UE  PHY Txed	382	8	0	1	1	0	SRS
3.90886	UE  PHY Txed	390	8	0	1	1	0	SRS
3.98886	UE  PHY Txed	398	8	0	1	1	0	SRS
4.06886	UE  PHY Txed	406	8	0	1	1	0	SRS
4.14886	UE  PHY Txed	414	8	0	1	1	0	SRS
4.22886	UE  PHY Txed	422	8	0	1	1	0	SRS
4.30886	UE  PHY Txed	430	8	0	1	1	0	SRS
4.38886	UE  PHY Txed	438	8	0	1	1	0	SRS
4.46886	UE  PHY Txed	446	8	0	1	1	0	SRS
4.50293	UE  PHY Txed	450	2	0	1	0	0	SR
4.54886	UE  PHY Txed	454	8	0	1	1	0	SRS
4.62886	UE  PHY Txed	462	8	0	1	1	0	SRS
4.70886	UE  PHY Txed	470	8	0	1	1	0	SRS
4.78886	UE  PHY Txed	478	8	0	1	1	0	SRS
4.86886	UE  PHY Txed	486	8	0	1	1	0	SRS
4.94886	UE  PHY Txed	494	8	0	1	1	0	SRS
5.02886	UE  PHY Txed	502	8	0	1	1	0	SRS
