Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.0179286	1	0	1	-91.9774
0.0688571	1	0	1	-91.9931
0.148857	1	0	1	-92.0178
0.228857	1	0	1	-92.0425
0.308857	1	0	1	-92.0674
0.388857	1	0	1	-92.0923
0.468857	1	0	1	-92.1173
0.503929	1	0	1	-92.1283
0.508857	1	0	1	-92.1299
0.514143	1	0	1	-92.1315
0.548857	1	0	1	-92.1424
0.628857	1	0	1	-92.1677
0.708857	1	0	1	-92.1929
0.788857	1	0	1	-92.2183
0.868857	1	0	1	-92.2438
0.948857	1	0	1	-92.2693
1.02886	1	0	1	-92.295
1.10886	1	0	1	-92.3207
1.18886	1	0	1	-92.3465
1.26886	1	0	1	-92.3724
1.34886	1	0	1	-92.3983
1.42886	1	0	1	-92.4244
1.50886	1	0	1	-92.4505
1.58886	1	0	1	-92.4767
1.66886	1	0	1	-92.5029
1.74886	1	0	1	-92.5293
1.82886	1	0	1	-92.5557
1.90886	1	0	1	-92.5822
1.98886	1	0	1	-92.6087
2.06886	1	0	1	-92.6354
2.14886	1	0	1	-92.6621
2.22886	1	0	1	-92.6888
2.30886	1	0	1	-92.7157
2.38886	1	0	1	-92.7426
2.46886	1	0	1	-92.7696
2.50293	1	0	1	-92.7811
2.50786	1	0	1	-92.7827
2.51314	1	0	1	-92.7845
2.54886	1	0	1	-92.7966
2.62886	1	0	1	-92.8237
2.70886	1	0	1	-92.8509
2.78886	1	0	1	-92.8781
2.86886	1	0	1	-92.9054
2.94886	1	0	1	-92.9328
3.02886	1	0	1	-92.9602
3.10886	1	0	1	-92.9877
3.18886	1	0	1	-93.0152
3.26886	1	0	1	-93.0428
3.34886	1	0	1	-93.0705
3.42886	1	0	1	-93.0982
3.50886	1	0	1	-93.1259
3.58886	1	0	1	-93.1538
3.66886	1	0	1	-93.1816
3.74886	1	0	1	-93.2096
3.82886	1	0	1	-93.2375
3.90886	1	0	1	-93.2656
3.98886	1	0	1	-93.2937
4.06886	1	0	1	-93.3218
4.14886	1	0	1	-93.35
4.22886	1	0	1	-93.3782
4.30886	1	0	1	-93.4065
4.38886	1	0	1	-93.4348
4.46886	1	0	1	-93.4632
4.50293	1	0	1	-93.4753
4.50786	1	0	1	-93.4771
4.51314	1	0	1	-93.4789
4.54886	1	0	1	-93.4916
4.62886	1	0	1	-93.5201
4.70886	1	0	1	-93.5486
4.78886	1	0	1	-93.5772
4.86886	1	0	1	-93.6058
4.94886	1	0	1	-93.6344
5.02886	1	0	1	-93.6631
5.10886	1	0	1	-93.6918
5.18886	1	0	1	-93.7206
5.26886	1	0	1	-93.7494
5.34886	1	0	1	-93.7782
5.42886	1	0	1	-93.8071
5.50886	1	0	1	-93.836
5.58886	1	0	1	-93.865
5.66886	1	0	1	-93.894
5.74886	1	0	1	-93.923
5.82886	1	0	1	-93.952
5.90886	1	0	1	-93.9811
5.98886	1	0	1	-94.0103
6.06886	1	0	1	-94.0394
6.14886	1	0	1	-94.0686
6.22886	1	0	1	-94.0978
6.30886	1	0	1	-94.1271
6.38886	1	0	1	-94.1564
6.46886	1	0	1	-94.1857
6.50293	1	0	1	-94.1982
6.50786	1	0	1	-94.2
6.51307	1	0	1	-94.2019
6.51457	1	0	1	-94.2024
6.51971	1	0	1	-94.2043
6.54886	1	0	1	-94.215
6.62886	1	0	1	-94.2444
6.70886	1	0	1	-94.2738
6.78886	1	0	1	-94.3032
6.86886	1	0	1	-94.3326
6.94886	1	0	1	-94.3621
7.02886	1	0	1	-94.3916
7.10886	1	0	1	-94.4211
7.18886	1	0	1	-94.4507
7.26886	1	0	1	-94.4803
7.34886	1	0	1	-94.5099
7.42886	1	0	1	-94.5395
7.50886	1	0	1	-94.5691
7.58886	1	0	1	-94.5988
7.66886	1	0	1	-94.6285
7.74886	1	0	1	-94.6582
7.82886	1	0	1	-94.6879
7.90886	1	0	1	-94.7176
7.98886	1	0	1	-94.7474
8.06886	1	0	1	-94.7772
8.14886	1	0	1	-94.807
8.22886	1	0	1	-94.8368
8.30886	1	0	1	-94.8666
8.38886	1	0	1	-94.8964
8.46886	1	0	1	-94.9263
8.50293	1	0	1	-94.939
8.50786	1	0	1	-94.9409
8.51286	1	0	1	-94.9427
8.51807	1	0	1	-94.9447
8.51957	1	0	1	-94.9452
8.52471	1	0	1	-94.9471
8.54886	1	0	1	-94.9562
8.62886	1	0	1	-94.986
8.70886	1	0	1	-95.016
8.78886	1	0	1	-95.0459
8.86886	1	0	1	-95.0758
8.94886	1	0	1	-95.1057
9.02886	1	0	1	-95.1357
9.10886	1	0	1	-95.1656
9.18886	1	0	1	-95.1956
9.26886	1	0	1	-95.2256
9.34886	1	0	1	-95.2556
9.42886	1	0	1	-95.2856
9.50886	1	0	1	-95.3156
9.58886	1	0	1	-95.3456
9.66886	1	0	1	-95.3757
9.74886	1	0	1	-95.4057
9.82886	1	0	1	-95.4358
9.90886	1	0	1	-95.4658
9.98886	1	0	1	-95.4959
10.0689	1	0	1	-95.5259
10.1489	1	0	1	-95.556
10.2289	1	0	1	-95.5861
10.3089	1	0	1	-95.6162
10.3889	1	0	1	-95.6462
10.4689	1	0	1	-95.6763
