クライアント数,重ユーザ数,軽ユーザ数,重ユーザ割合,配置半径,シミュレーション時間,チャネル使用率,平均スループット,平均遅延,パケット損失率,タイムスタンプ
1,1,0,100,5,10,35.9588,50.913,0.132594,0.04,20251118_113554_t10.0s
2,2,0,100,5,10,51.5494,50.8967,0.523688,0.072,20251118_125228_t10.0s
3,3,0,100,5,10,63.7278,50.8876,1.78157,0.0897778,20251118_125238_t10.0s
4,4,0,100,5,10,76.1844,50.8916,8.03408,0.082,20251118_125252_t10.0s
5,5,0,100,5,10,83.6292,49.1315,185.539,3.5376,20251118_125258_t10.0s
6,6,0,100,5,10,83.8994,39.922,850.861,21.6191,20251118_125305_t10.0s
7,7,0,100,5,10,84.0799,33.7739,1306.62,33.6899,20251118_125312_t10.0s
8,8,0,100,5,10,83.9127,27.9863,1827.82,45.053,20251118_125319_t10.0s
9,9,0,100,5,10,83.9002,24.6193,2066.86,51.6637,20251118_125340_t10.0s
10,10,0,100,5,10,83.8787,22.0452,2211.59,56.7176,20251118_125353_t10.0s
10,10,0,100,5,10,83.8787,22.0452,2211.59,56.7176,20251125_144945_t10.0s
10,10,0,100,5,10,84.915,22.0452,2211.59,56.7176,20251125_163105_t10.0s
1,1,0,100,5,10,3.86172,5.09333,0.0784786,0,20251125_164017_t10.0s
