クライアント数,重ユーザ数,軽ユーザ数,重ユーザ割合,配置半径,シミュレーション時間,チャネル使用率,平均スループット,平均遅延,パケット損失率,タイムスタンプ
1,1,0,100,5,10,3.86172,5.09333,0.0784786,0,20251125_164043_t10.0s
2,2,0,100,5,10,10.1017,5.09198,0.469796,0.0266667,20251125_164052_t10.0s
3,3,0,100,5,10,13.8723,5.09198,0.561798,0.0266667,20251125_164059_t10.0s
4,4,0,100,5,10,17.7247,5.09231,0.65481,0.02,20251125_164105_t10.0s
5,5,0,100,5,10,21.6695,5.09279,0.753997,0.0106667,20251125_164112_t10.0s
6,6,0,100,5,10,25.6009,5.09084,0.852703,0.0488889,20251125_164118_t10.0s
7,7,0,100,5,10,29.5979,5.09178,0.949245,0.0304762,20251125_164124_t10.0s
8,8,0,100,5,10,33.6597,5.09028,1.06522,0.06,20251125_164132_t10.0s
9,9,0,100,5,10,37.6436,5.08835,1.1825,0.0977778,20251125_164141_t10.0s
10,10,0,100,5,10,41.4271,5.08872,1.37366,0.0906667,20251125_164152_t10.0s
10,10,0,100,5,10,41.4271,5.08872,1.37366,0.0906667,20251130_173804_t10.0s
10,10,0,100,5,10,41.5419,5.08844,1.36201,0.096,20251130_174025_t10.0s
