Stations,Radius(m),Load(Mbps),PktSize,UseTCP,RateCtrl,MaxAmpdu,RtsCtsTh,Utilization(%),Throughput(Mbps),LossRate(%),AvgDelay(ms),CollisionRate(%),RetransCount,TotalMacTx,RetransRate(%),ApTxPower(dBm),AggRatio,AvgRSSI(dBm),AvgSNR(dB)
1,5,100,1500,TCP,Auto,65535,65535,58.7229,111.603,0.00110498,0.524508,12.1497,150193,1085992,13.83,16.0206,2.33216,-51.6262,36.3251
1,10,100,1500,TCP,Auto,65535,65535,58.7103,111.604,0.00110495,0.519789,12.0405,148662,1086022,13.6887,16.0206,2.33469,-60.6571,27.2937
1,12.5,100,1500,TCP,Auto,65535,65535,61.2576,111.601,0.0063537,0.632185,14.4939,184083,1085986,16.9508,16.0206,2.3134,-63.5644,24.3885
1,15,100,1500,TCP,Auto,65535,65535,66.3206,111.246,0.00314075,0.723393,13.9523,175531,1082547,16.2146,16.0206,2.36958,-65.9398,22.0261
1,17.5,100,1500,TCP,Auto,65535,65535,66.5947,111.429,0.0018447,0.763963,15.0216,191652,1084192,17.6769,16.0206,2.37246,-67.9482,20.0127
1,20,100,1500,TCP,Auto,65535,65535,71.4689,111.432,0.00756255,1.01585,16.9464,221242,1084295,20.4042,16.0206,2.40083,-69.688,18.274
1,22.5,100,1500,TCP,Auto,65535,65535,77.7145,110.628,0.0504609,1.88845,20.8645,283193,1074103,26.3655,16.0206,2.40586,-71.2226,16.7944
1,25,100,1500,TCP,Auto,65535,65535,85.3574,107.193,0.0361494,2.32371,14.7375,180263,1042897,17.2848,16.0206,2.52788,-72.5953,15.5141
1,27.5,100,1500,TCP,Auto,65535,65535,85.4182,106.889,0.0539363,2.3479,14.5113,176555,1040120,16.9745,16.0206,2.55422,-73.8371,14.2237
1,30,100,1500,TCP,Auto,65535,65535,85.6815,104.991,0.0833396,3.23099,16.1754,196581,1018728,19.2967,16.0206,2.55188,-74.9707,13.0518
1,32.5,100,1500,TCP,Auto,65535,65535,89.7645,79.4317,0.0750877,5.95238,19.2766,184456,772434,23.8798,16.0206,2.46766,-76.0136,12.0621
1,35,100,1500,TCP,Auto,65535,65535,90.7207,79.725,0.07606,6.40017,17.0839,159555,774393,20.6039,16.0206,2.5049,-76.9791,11.0858
1,37.5,100,1500,TCP,Auto,65535,65535,89.6406,78.0121,0.0437813,7.03056,16.9032,154254,758318,20.3416,16.0206,2.52393,-77.878,10.1467
1,40,100,1500,TCP,Auto,65535,65535,77.0179,56.6678,0.138767,9.34632,25.534,187551,546964,34.2895,16.0206,2.42794,-78.7189,9.32136
1,5,200,1500,TCP,Auto,65535,65535,79.5793,213.391,0.0408584,1.31994,12.5213,296372,2070570,14.3135,16.0206,2.63563,-51.6262,36.3414
1,10,200,1500,TCP,Auto,65535,65535,79.4794,212.388,0.0374949,1.36165,13.1978,313864,2064282,15.2045,16.0206,2.6203,-60.6571,27.3097
1,12.5,200,1500,TCP,Auto,65535,65535,79.8207,186.79,0.0365042,2.37718,17.0746,373404,1813492,20.5903,16.0206,2.55889,-63.5644,24.4222
1,15,200,1500,TCP,Auto,65535,65535,84.5703,175.441,0.0252794,2.71504,14.4741,288540,1704947,16.9237,16.0206,2.61051,-65.9398,22.0578
1,17.5,200,1500,TCP,Auto,65535,65535,82.284,163.286,0.0471578,3.25306,15.7679,296527,1584047,18.7196,16.0206,2.59576,-67.9482,20.0393
1,20,200,1500,TCP,Auto,65535,65535,81.4153,136.873,0.0633972,4.31999,18.209,295682,1328139,22.2629,16.0206,2.54264,-69.688,18.3349
1,22.5,200,1500,TCP,Auto,65535,65535,81.8403,117.546,0.0535694,5.11831,21.1726,305351,1136846,26.8595,16.0206,2.47365,-71.2226,16.8318
1,25,200,1500,TCP,Auto,65535,65535,88.6861,113.924,0.0525123,4.98644,16.1463,212677,1104507,19.2554,16.0206,2.57223,-72.5953,15.494
