Stations,Radius(m),Load(Mbps),PktSize,UseTCP,RateCtrl,MaxAmpdu,RtsCtsTh,Utilization(%),Throughput(Mbps),LossRate(%),AvgDelay(ms),CollisionRate(%),RetransCount,TotalMacTx,RetransRate(%),ApTxPower(dBm),AggRatio,AvgRSSI(dBm),AvgSNR(dB)
1,5,5,1500,TCP,Auto,65535,65535,7.19376,5.60433,0,0.116342,0,0,54547,0,16.0206,1.78193,-51.6262,36.3344
2,5,10,1500,TCP,Auto,65535,65535,14.3151,11.2087,0.00275005,0.119049,0.0723602,79,109097,0.0724126,16.0206,1.78997,-51.6262,36.3376
3,5,15,1500,TCP,Auto,65535,65535,21.4408,16.8092,0,0.135549,0.250601,411,163595,0.25123,16.0206,1.79285,-51.6262,36.3362
5,5,25,1500,TCP,Auto,65535,65535,39.0192,27.8221,0.00590907,0.464835,17.7609,58482,270791,21.5967,16.0206,1.64665,-51.6262,36.3579
10,5,50,1500,TCP,Auto,65535,65535,73.0043,46.601,1.07336,12.8538,45.9908,385992,453289,85.1536,16.0206,1.74831,-51.6262,37.0381
20,5,100,1500,TCP,Auto,65535,65535,86.6369,52.178,1.87477,38.7007,43.034,377551,499781,75.5433,16.0206,2.08509,-51.6262,37.4557
30,5,150,1500,TCP,Auto,65535,65535,89.0068,43.4571,3.64687,76.4503,42.845,310066,413627,74.9627,16.0206,2.14025,-51.6262,37.7099
40,5,200,1500,TCP,Auto,65535,65535,90.8078,38.8513,5.55046,114.387,43.1461,278580,367087,75.8894,16.0206,2.19929,-51.6262,37.9173
1,10,5,1500,TCP,Auto,65535,65535,7.19476,5.60433,0,0.116477,0.00733259,4,54547,0.00733313,16.0206,1.78169,-60.6571,27.3035
2,10,10,1500,TCP,Auto,65535,65535,14.3177,11.2087,0.00275005,0.11923,0.0915776,100,109097,0.0916615,16.0206,1.78967,-60.6571,27.3067
5,10,25,1500,TCP,Auto,65535,65535,37.6899,27.8218,0.00406253,0.334539,13.018,40527,270788,14.9663,16.0206,1.69321,-60.6571,27.3248
10,10,50,1500,TCP,Auto,65535,65535,70.2132,48.0405,1.04911,9.98619,46.3652,405192,468722,86.4461,16.0206,1.70558,-60.6571,27.9902
20,10,100,1500,TCP,Auto,65535,65535,88.1774,54.8283,1.62164,34.4612,41.3713,369578,523741,70.565,16.0206,2.15095,-60.6571,28.541
30,10,150,1500,TCP,Auto,65535,65535,89.4628,46.2199,3.30717,78.2493,42.4898,324560,439294,73.8822,16.0206,2.16353,-60.6571,28.7747
40,10,200,1500,TCP,Auto,65535,65535,91.4548,36.5802,6.45366,148.86,44.8352,281499,346353,81.2752,16.0206,2.18046,-60.6571,28.865
