Stations,Radius(m),Load(Mbps),PktSize,UseTCP,RateCtrl,MaxAmpdu,RtsCtsTh,Utilization(%),Throughput(Mbps),LossRate(%),AvgDelay(ms),CollisionRate(%),RetransCount,TotalMacTx,RetransRate(%),ApTxPower(dBm),AggRatio,AvgRSSI(dBm),AvgSNR(dB)
1,5,5,1400,TCP,Auto,65535,65535,9.12861,5.38835,0,0.071963,0.0957265,56,58444,0.0958182,15,1.18683,-52.6468,35.315
2,5,10,1400,TCP,Auto,65535,65535,18.0457,10.7767,0,0.0732015,0.137549,161,116888,0.137739,15,1.19211,-52.6468,35.3182
3,5,15,1400,TCP,Auto,65535,65535,27.614,16.162,0,0.138388,5.20845,9631,175280,5.49464,15,1.16237,-52.6468,35.3178
4,5,20,1400,TCP,Auto,65535,65535,38.2883,21.5446,0.00320996,0.324275,14.4941,39608,233662,16.951,15,1.1095,-52.6468,35.3234
5,5,25,1400,TCP,Auto,65535,65535,47.7861,26.9305,0.0123263,0.522634,23.0915,87696,292080,30.0247,15,1.07333,-52.6468,35.3556
7,5,35,1400,TCP,Auto,65535,65535,57.7304,36.5356,0.462013,2.99155,40.5251,270250,396620,68.1383,15,1.0358,-52.6468,35.7223
10,5,50,1400,TCP,Auto,65535,65535,70.0845,46.8499,1.25021,8.47821,47.7914,458921,501337,91.5394,15,1.12784,-52.6468,36.1335
15,5,75,1400,TCP,Auto,65535,65535,77.8727,54.8037,2.15507,10.5283,46.2498,491336,571016,86.0459,15,1.25271,-52.6468,36.6323
20,5,100,1400,TCP,Auto,65535,65535,83.5904,53.9031,2.41863,12.4334,44.4455,443723,554629,80.0036,15,1.32834,-52.6468,36.7389
25,5,125,1400,TCP,Auto,65535,65535,88.5483,55.0145,2.55725,15.9464,42.0231,401780,554314,72.4824,15,1.45849,-52.6468,36.9906
30,5,150,1400,TCP,Auto,65535,65535,89.7763,48.9285,2.38399,17.814,42.4958,359744,486796,73.9004,15,1.5004,-52.6468,36.9422
35,5,175,1400,TCP,Auto,65535,65535,90.8465,40.3003,3.08729,24.2706,43.5706,310843,402580,77.2127,15,1.50186,-52.6468,37.1587
40,5,200,1400,TCP,Auto,65535,65535,90.5044,42.4486,3.02707,23.2728,43.3795,323369,422073,76.6145,15,1.52242,-52.6468,37.3038
1,10,5,1400,TCP,Auto,65535,65535,10.1063,5.38794,0.00770021,0.0910912,4.78339,2936,58443,5.0237,15,1.14802,-61.6777,26.3022
2,10,10,1400,TCP,Auto,65535,65535,20.027,10.7767,0,0.0980252,5.13193,6323,116886,5.40954,15,1.15202,-61.6777,26.3062
