Stations,Radius(m),Load(Mbps),PktSize,UseTCP,RateCtrl,MaxAmpdu,RtsCtsTh,Utilization(%),Throughput(Mbps),LossRate(%),AvgDelay(ms),CollisionRate(%),RetransCount,TotalMacTx,RetransRate(%),ApTxPower(dBm),AggRatio,AvgRSSI(dBm),AvgSNR(dB)
29,14,406,1500,TCP,Auto,65535,65535,87.0412,53.2045,1.93077,27.2071,38.8927,284666,447261,63.6465,15,1.72588,-66.0615,23.6087
41,28.8,533,1500,TCP,Auto,65535,65535,89.875,20.8942,3.89221,65.3583,53.1612,199180,175492,113.498,15,1.15737,-75.4595,14.7414
12,9.3,204,1500,TCP,Auto,65535,65535,89.3735,79.6092,1.55984,14.4566,35.2586,404954,743573,54.4606,15,1.56989,-60.7322,28.5713
44,39.9,1144,1500,TCP,Auto,65535,65535,88.6406,9.34181,7.41152,91.1622,65.5062,142856,75224,189.907,15,0.884425,-79.7069,10.7382
12,7.7,204,1500,TCP,Auto,65535,65535,90.1476,77.462,1.63548,21.4555,36.2434,411868,724526,56.8465,15,1.58679,-58.2724,31.1954
22,4.3,440,1500,TCP,Auto,65535,65535,90.0184,83.317,1.85855,13.1974,36.5491,437734,759927,57.6021,15,1.63815,-50.6818,38.5567
35,24.3,385,1500,TCP,Auto,65535,65535,89.6459,23.6258,5.15998,52.7629,48.3291,202729,216747,93.5326,15,1.07495,-73.2459,16.7663
38,35.4,418,1500,TCP,Auto,65535,65535,89.5883,18.5332,4.82315,65.1423,55.2776,166614,134799,123.602,15,1.09779,-78.1478,11.4044
13,1.4,208,1500,TCP,Auto,65535,65535,88.8677,83.5829,1.82835,12.8319,36.9356,451497,770892,58.5681,15,1.53597,-36.0615,52.8884
9,37.5,90,1500,TCP,Auto,65535,65535,81.0759,35.5305,1.23843,30.7788,43.9794,192421,245104,78.5059,15,1.26224,-78.8986,9.55226
