Stations,Radius(m),Load(Mbps),PktSize,UseTCP,RateCtrl,MaxAmpdu,RtsCtsTh,Utilization(%),Throughput(Mbps),LossRate(%),AvgDelay(ms),CollisionRate(%),AggRatio,AvgRSSI(dBm),AvgSNR(dB)
1,5,500,1500,UDP,Auto,65535,65535,88.9794,306.724,37.9168,398.624,0,40.3041,-51.6262,36.3221
1,10,500,1500,UDP,Auto,65535,65535,88.9646,306.515,37.9592,398.891,0.0507226,40.2249,-60.6571,27.2912
1,15,500,1500,UDP,Auto,65535,65535,90.739,236.768,52.0764,511.705,0.635578,39.9281,-65.9398,22.0123
1,25,500,1500,UDP,Auto,65535,65535,92.9434,151.847,69.2651,779.227,0.937894,39.385,-72.5953,15.363
1,30,500,1500,UDP,Auto,65535,65535,92.3463,141.157,71.4289,835.329,6.92854,32.1956,-74.9707,12.9886
1,35,500,1500,UDP,Auto,65535,65535,94.1538,103.984,78.9529,1105.56,1.60328,38.3062,-76.9791,10.9739
1,40,500,1500,UDP,Auto,65535,65535,92.467,67.7413,86.2887,1627.51,33.7986,16.2894,-78.7189,9.26269
1,45,500,1500,UDP,Auto,65535,65535,94.6424,72.4032,85.3451,1540.06,2.83784,32.4194,-80.2535,7.70571
,,,,,,,,,,,,,,,
1,5,500,1500,UDP,Auto,0,65535,41.3035,52.0702,89.4606,2035.6,0.00779417,0.997627,-51.6262,36.3233
1,5,500,1500,UDP,Auto,8192,65535,61.8687,164.141,66.7767,725.731,0.0218135,4.98075,-51.6262,36.3214
1,5,500,1500,UDP,Auto,16384,65535,72.7391,226.601,54.1343,534.11,0.0150888,9.94478,-51.6262,36.3214
1,5,500,1500,UDP,Auto,32768,65535,82.1143,277.52,43.828,439.472,0.0420901,19.8151,-51.6262,36.3217
1,5,500,1500,UDP,Auto,65535,65535,88.9794,306.724,37.9168,398.624,0,40.3041,-51.6262,36.3221
,,,,,,,,,,,,,,,
1,35,500,1500,UDP,Auto,0,65535,53.5954,37.1292,92.4848,2681.81,4.82211,0.996664,-76.9791,10.9717
1,35,500,1500,UDP,Auto,8192,65535,79.0828,75.18,84.783,1482.69,8.11414,4.76181,-76.9791,10.9987
1,35,500,1500,UDP,Auto,16384,65535,86.8102,88.7116,82.0441,1278.94,5.08319,9.60451,-76.9791,10.9981
1,35,500,1500,UDP,Auto,32768,65535,91.5215,98.294,80.1046,1165.04,2.52625,19.2033,-76.9791,10.9879
1,35,500,1500,UDP,Auto,65535,65535,94.1538,103.984,78.9529,1105.56,1.60328,38.3062,-76.9791,10.9739
,,,,,,,,,,,,,,,
2,5,20,1500,UDP,Fixed,65535,65535,21.3141,19.7597,0.0123711,0.463221,50.2972,0.995341,-51.6262,36.3209
5,5,50,1500,UDP,Fixed,65535,65535,44.131,49.4013,0.00824742,0.783195,45.0776,1.06315,-51.6262,36.3209
10,5,100,1500,UDP,Fixed,65535,65535,65.61,98.7442,0.0672165,11.4635,54.7694,2.50271,-51.6262,36.3208
20,5,200,1500,UDP,Fixed,65535,65535,87.6783,160.418,18.8256,180.232,59.8481,13.3456,-51.6262,36.3213
30,5,300,1500,UDP,Fixed,65535,65535,88.3635,149.001,49.7351,285.74,52.6839,13.6865,-51.6262,36.3225
40,5,400,1500,UDP,Fixed,65535,65535,87.7489,135.129,65.8111,334.71,46.4263,11.9412,-51.6262,36.324
50,5,500,1500,UDP,Fixed,65535,65535,87.4114,125.023,74.6944,364.135,42.5794,10.7902,-51.6262,36.325920,30,2000,1500,UDP,Auto,65535,0,93.7237,77.0409,96.1016,5285.09,3.02065,14.2869,-74.9707,13.2411
1,37.5,500,1500,UDP,Auto,65535,65535,93.8991,99.9634,79.7667,1147.2,5.06787,33.9415,-77.878,10.0746
1,42.5,500,1500,UDP,Auto,65535,65535,94.6877,78.3766,84.136,1427.49,2.12198,35.2162,-79.5088,8.44435
1,47.5,500,1500,UDP,Auto,65535,65535,94.6108,71.5043,85.527,1557.51,3.82446,31.5621,-80.9579,7.00135
15,5,150,1500,UDP,Fixed,65535,65535,82.0647,146.785,0.965498,74.263,60.8872,7.61764,-51.6262,36.3209
25,5,250,1500,UDP,Fixed,65535,65535,88.4333,155.353,37.1108,245.837,56.7563,14.356,-51.6262,36.3218
35,5,350,1500,UDP,Fixed,65535,65535,88.1092,141.887,58.973,305.374,50.3236,12.8503,-51.6262,36.3232
7,5,70,1500,UDP,Fixed,65535,65535,54.1316,69.1491,0.0265096,2.05267,44.3844,1.39349,-51.6262,36.3208
3,5,30,1500,UDP,Fixed,65535,65535,29.1785,29.6375,0.019244,0.557682,50.3861,1.00819,-51.6262,36.3209
4,5,40,1500,UDP,Fixed,65535,65535,36.8736,39.5194,0.0123711,0.671173,50.0119,1.0343,-51.6262,36.3209
12,5,120,1500,UDP,Fixed,65535,65535,72.8684,118.38,0.162543,24.2793,58.8705,3.86149,-51.6262,36.3208
17,5,170,1500,UDP,Fixed,65535,65535,85.6076,156.453,6.86089,123.31,61.1992,10.6746,-51.6262,36.321
