Stations,Radius(m),Load(Mbps),PktSize,UseTCP,RateCtrl,MaxAmpdu,RtsCtsTh,Utilization(%),Throughput(Mbps),LossRate(%),AvgDelay(ms),CollisionRate(%),AggRatio
1,5,5,1500,UDP,Auto,60,0,6.30344,4.94053,0,0.169784,0,0.493649
1,5,5,1500,UDP,Auto,8192,0,6.30596,4.94053,0,0.169703,0,0.493729
1,5,5,1500,UDP,Auto,16384,0,6.30596,4.94053,0,0.169703,0,0.493729
1,5,5,1500,UDP,Auto,32768,0,6.30596,4.94053,0,0.169703,0,0.493729
1,5,5,1500,UDP,Auto,65535,0,6.30596,4.94053,0,0.169703,0,0.493729
1,5,5,1500,UDP,Fixed,0,0,7.52903,4.94053,0,0.197221,0,0.493649
1,5,5,1500,UDP,Fixed,8192,0,7.52808,4.94053,0,0.19714,0,0.493729
1,5,5,1500,UDP,Fixed,16384,0,7.52808,4.94053,0,0.19714,0,0.493729
1,5,5,1500,UDP,Fixed,32768,0,7.52808,4.94053,0,0.19714,0,0.493729
1,5,5,1500,UDP,Fixed,65535,0,7.52808,4.94053,0,0.19714,0,0.493729
1,5,10,1500,UDP,Fixed,0,65535,8.01091,9.88066,0.00412371,0.0777867,0,0.987619
1,5,10,1500,UDP,Fixed,8192,65535,8.01052,9.88066,0.00412371,0.0777452,0,0.987699
1,5,10,1500,UDP,Fixed,8192,65535,8.01052,9.88066,0.00412371,0.0777452,0,0.987699
1,5,10,1500,UDP,Fixed,32768,65535,8.01052,9.88066,0.00412371,0.0777452,0,0.987699
1,5,10,1500,UDP,Fixed,65535,65535,8.01052,9.88066,0.00412371,0.0777452,0,0.987699
1,5,500,1500,UDP,Fixed,0,65535,41.2682,52.2283,89.4286,2029.77,0.00854767,0.997634
1,5,500,1500,UDP,Fixed,8192,65535,63.2786,157.875,68.0449,751.668,0.0198437,4.98001
1,5,500,1500,UDP,Fixed,16384,65535,74.223,213.26,56.8346,564.519,0.00400838,9.94206
1,5,500,1500,UDP,Fixed,32768,65535,83.1594,258.533,47.671,468.368,0.0129123,19.8092
1,5,500,1500,UDP,Fixed,65535,65535,89.3939,290.836,41.1327,416.817,0.0232352,40.2893
2,5,200,1500,UDP,Fixed,65535,65535,76.1969,197.571,0.025567,1.19901,19.7616,8.22605
5,5,500,1500,UDP,Fixed,65535,65535,90.6889,239.653,51.4925,2056.27,42.3079,29.4725
10,5,1000,1500,UDP,Fixed,65535,65535,90.5135,209.015,78.847,3674.6,52.4631,24.7987
10,100,1000,1500,UDP,Fixed,65535,65535,0.24696,0,100,0,0,0
20,100,2000,1500,UDP,Fixed,65535,65535,0.24696,0,100,0,0,0
10,100,1000,1500,UDP,Auto,65535,65535,0.24696,0,100,0,0,0
20,100,2000,1500,UDP,Auto,65535,65535,0.24696,0,100,0,0,0
10,100,1000,1500,UDP,Auto,65535,0,0.24696,0,100,0,0,0
20,100,2000,1500,UDP,Auto,65535,0,0.24696,0,100,0,0,0
10,100,1000,1500,UDP,Fixed,65535,0,0.24696,0,100,0,0,0
20,100,2000,1500,UDP,Fixed,65535,0,0.24696,0,100,0,0,0
20,30,2000,1500,UDP,Fixed,65535,65535,1.74763,0,100,0,99.3857,0
20,25,2000,1500,UDP,Auto,65535,65535,94.4955,26.9617,98.6357,5467.77,19.3088,8.03509
20,25,2000,1500,UDP,Auto,65535,0,94.1965,92.3947,95.3247,5519.39,0.733288,17.3293
10,25,1000,1500,UDP,Auto,65535,0,94.2224,96.0892,90.2754,5040.3,0.380194,18.175
