Stations,Radius(m),Load(Mbps),PktSize,UseTCP,RateCtrl,MaxAmpdu,RtsCtsTh,Utilization(%),Throughput(Mbps),LossRate(%),AvgDelay(ms),CollisionRate(%),AggRatio
1,5,5,1500,UDP,Fixed,0,65535,3.9026,4.63534,0,0.0784867,0,0.972058
2,5,10,1500,UDP,Fixed,0,65535,10.2204,9.26824,0.0263713,0.471627,103.389,0.984547
5,5,25,1500,UDP,Fixed,0,65535,21.9071,23.1743,0.0105485,0.754399,112.35,0.992098
10,5,50,1500,UDP,Fixed,0,65535,42.8412,46.2972,0.121308,1.59616,97.234,0.994616
20,5,100,1500,UDP,Fixed,0,65535,49.8639,45.2141,51.2289,454.271,48.3027,0.882242
30,5,150,1500,UDP,Fixed,0,65535,49.8119,39.294,71.7431,466.752,39.7042,0.777595
40,5,200,1500,UDP,Fixed,0,65535,49.68,34.9741,81.1373,467.884,34.4503,0.702541
50,5,250,1500,UDP,Fixed,0,65535,49.5499,31.9254,86.2252,469.473,30.5168,0.652175
1,20,5,1500,UDP,Fixed,0,65535,0.65248,0,100,0,27300,0
2,20,10,1500,UDP,Fixed,0,65535,0.991885,0,100,0,25162.5,0
5,20,25,1500,UDP,Fixed,0,65535,1.84433,0,100,0,21695,0
10,20,50,1500,UDP,Fixed,0,65535,2.77808,0,100,0,17315,0
20,20,100,1500,UDP,Fixed,0,65535,3.90536,0,100,0,12683.8,0
30,20,150,1500,UDP,Fixed,0,65535,4.84621,0,100,0,10424.4,0
40,20,200,1500,UDP,Fixed,0,65535,5.49455,0,100,0,8874.25,0
50,20,250,1500,UDP,Fixed,0,65535,6.15141,0,100,0,7909.86,0
1,5,5,1500,UDP,Fixed,0,0,7.09628,4.63534,0,0.198892,0,0.492404
2,5,10,1500,UDP,Fixed,0,0,15.4978,9.26824,0.0263713,0.620854,0,0.495588
3,5,15,1500,UDP,Fixed,0,0,22.4506,13.8999,0.0439522,0.777268,0,0.496659
5,5,25,1500,UDP,Fixed,0,0,36.4291,23.1633,0.0580169,1.08551,0,0.497467
10,5,50,1500,UDP,Fixed,0,0,53.4407,33.935,26.7906,429.799,0,0.49742
20,5,100,1500,UDP,Fixed,0,0,53.7679,33.2114,64.1759,470.904,0,0.495495
30,5,150,1500,UDP,Fixed,0,0,53.8782,32.6087,76.5506,473.677,0,0.493516
40,5,200,1500,UDP,Fixed,0,0,53.9907,32.1308,82.6708,477.983,0,0.491345
50,5,250,1500,UDP,Fixed,0,0,53.9274,31.5343,86.394,475.974,0,0.488358
1,20,5,1500,UDP,Fixed,0,0,1.48076,0,100,0,25300,0
1,10,5,1500,UDP,Fixed,0,0,7.09628,4.63534,0,0.199016,0,0.492404
