Stations,Radius(m),Load(Mbps),PktSize,UseTCP,RateCtrl,MaxAmpdu,Rts/CtsTh,Utilization(%),Throughput(Mbps),LossRate(%),AvgDelay(ms),CollisionRate(%),AggRatio
1,5,5,1500,UDP,Auto,65535,65535,4.20,4.94,0.00,0.08,0.00,0.98
2,5,10,1500,UDP,Auto,65535,65535,17.21,9.88,0.00,0.58,50.44,0.99
5,5,25,1500,UDP,Auto,65535,65535,34.96,24.68,0.07,1.05,52.16,1.01
10,5,50,1500,UDP,Auto,65535,65535,64.93,47.45,3.96,27.46,50.83,1.45
20,5,100,1500,UDP,Auto,65535,65535,93.63,29.72,69.93,272.02,34.70,6.72
30,5,150,1500,UDP,Auto,65535,65535,93.58,17.76,88.02,349.21,21.40,4.04
40,5,200,1500,UDP,Auto,65535,65535,93.51,13.43,93.20,374.85,15.26,3.04
50,5,250,1500,UDP,Auto,65535,65535,93.39,17.85,92.77,347.48,18.48,3.89
,,,,,,,,,,,,,
1,10,5,1500,UDP,Auto,65535,65535,4.20,4.94,0.00,0.08,0.02,0.98
2,10,10,1500,UDP,Auto,65535,65535,17.14,9.88,0.00,0.59,50.50,0.99
5,10,25,1500,UDP,Auto,65535,65535,37.81,24.69,0.06,1.04,53.37,1.01
10,10,50,1500,UDP,Auto,65535,65535,60.27,48.26,2.33,19.43,50.42,1.29
20,10,100,1500,UDP,Auto,65535,65535,93.70,28.49,71.16,278.46,32.92,6.57
30,10,150,1500,UDP,Auto,65535,65535,93.50,20.74,86.00,313.34,22.52,4.59
40,10,200,1500,UDP,Auto,65535,65535,93.53,17.69,91.05,352.28,17.54,3.96
50,10,250,1500,UDP,Auto,65535,65535,93.55,13.74,94.44,371.77,14.01,3.12
,,,,,,,,,,,,,
Stations,Radius(m),Load(Mbps),PktSize,UseTCP,RateCtrl,MaxAmpdu,RtsCtsTh,Utilization(%),Throughput(Mbps),LossRate(%),AvgDelay(ms),CollisionRate(%),AggRatio
1,15,5,1500,UDP,Auto,65535,65535,4.61,4.94,0.00,0.10,3.27,0.98
2,15,10,1500,UDP,Auto,65535,65535,24.57,9.88,0.00,0.73,50.36,0.99
5,15,25,1500,UDP,Auto,65535,65535,40.34,24.69,0.06,1.16,52.02,1.01
10,15,50,1500,UDP,Auto,65535,65535,68.74,45.79,7.32,42.96,50.15,1.52
20,15,100,1500,UDP,Auto,65535,65535,93.71,25.74,73.95,292.36,32.55,5.96
30,15,150,1500,UDP,Auto,65535,65535,93.70,17.48,88.21,333.41,19.79,4.11
40,15,200,1500,UDP,Auto,65535,65535,93.61,18.10,90.84,339.56,20.81,4.12
50,15,250,1500,UDP,Auto,65535,65535,93.41,12.38,94.99,386.19,13.58,2.77
,,,,,,,,,,,,,
1,5,5,1500,UDP,Auto,65535,0,6.31,4.94,0.00,0.17,0.00,0.49
2,5,10,1500,UDP,Auto,65535,0,13.40,9.88,0.00,0.56,0.00,0.50
5,5,25,1500,UDP,Auto,65535,0,31.79,24.69,0.04,1.01,0.00,0.50
10,5,50,1500,UDP,Auto,65535,0,52.51,49.30,0.22,3.17,0.00,0.65
20,5,100,1500,UDP,Auto,65535,0,62.83,97.85,0.97,30.24,0.00,1.61
30,5,150,1500,UDP,Auto,65535,0,76.72,138.85,6.32,89.90,0.00,3.87
40,5,200,1500,UDP,Auto,65535,0,84.38,159.84,19.12,137.08,0.00,7.14
50,5,250,1500,UDP,Auto,65535,0,88.77,157.48,36.25,182.91,0.00,10.70
,,,,,,,,,,,,,
Stations,Radius(m),Load(Mbps),PktSize,UseTCP,RateCtrl,MaxAmpdu,RtsCtsTh,Utilization(%),Throughput(Mbps),LossRate(%),AvgDelay(ms),CollisionRate(%),AggRatio
1,10,5,1500,UDP,Auto,65535,0,6.31,4.94,0.00,0.17,0.05,0.49
2,10,10,1500,UDP,Auto,65535,0,13.40,9.88,0.00,0.56,0.05,0.50
5,10,25,1500,UDP,Auto,65535,0,31.80,24.69,0.04,1.01,0.06,0.50
10,10,50,1500,UDP,Auto,65535,0,52.50,49.30,0.21,3.22,0.05,0.65
20,10,100,1500,UDP,Auto,65535,0,62.58,98.08,0.74,30.32,0.03,1.60
30,10,150,1500,UDP,Auto,65535,0,74.05,141.71,4.39,79.58,0.02,3.47
40,10,200,1500,UDP,Auto,65535,0,84.05,161.20,18.43,142.72,0.02,7.03
50,10,250,1500,UDP,Auto,65535,0,88.75,159.78,35.32,186.77,0.01,10.84
,,,,,,,,,,,,,
1,15,5,1500,UDP,Auto,65535,0,6.78,4.94,0.00,0.20,3.32,0.49
2,15,10,1500,UDP,Auto,65535,0,14.34,9.88,0.00,0.59,3.30,0.49
5,15,25,1500,UDP,Auto,65535,0,34.06,24.69,0.04,1.08,3.26,0.49
10,15,50,1500,UDP,Auto,65535,0,54.67,49.31,0.20,3.89,3.86,0.69
20,15,100,1500,UDP,Auto,65535,0,69.25,97.42,1.41,42.57,3.04,1.99
30,15,150,1500,UDP,Auto,65535,0,77.27,135.90,8.31,86.66,1.24,3.87
40,15,200,1500,UDP,Auto,65535,0,89.78,132.47,32.97,179.97,0.86,10.23
50,15,250,1500,UDP,Auto,65535,0,89.74,140.57,43.10,201.42,1.21,10.84
1,5,5,1500,TCP,Auto,65535,0,79.2727,218.079,0.0113503,3.08733,0,2.76213
