Type,FlowID,RxBytes,RxPackets,TxPackets,DelaySum(s)
FLOW_DATA,1,597516,1018,1130,9.05744
FLOW_DATA,2,24184,465,509,1.48302
1,5,1,1500,TCP,Auto,65535,65535,8.8296,4.9736,9.518,7.10753,0,0,1643,0,16.0206,2.90784,-51.6262,37.7565,621700
FLOW_DATA,1,1288,5,5,0.00493611
FLOW_DATA,2,212,4,4,0.00102714
1,5,1,1500,TCP,Fixed,65535,65535,0.4588,0.012,0,0.662582,0,0,13,0,16.0206,0.3,-51.6262,38.7983,1500
FLOW_DATA,1,1288,5,5,0.00563043
FLOW_DATA,2,212,4,4,0.00738536
1,5,1,1500,TCP,Auto,65535,65535,0.5116,0.012,0,1.4462,0,0,13,0,16.0206,0.3,-51.6262,41.8086,1500
FLOW_DATA,1,11700,23,23,0.0107505
FLOW_DATA,2,628,12,12,0.00952343
1,5,1,1500,TCP,Auto,65535,65535,0.81,0.098624,0,0.579254,0,0,39,0,16.0206,0.795455,-51.6262,40.3574,12328
FLOW_DATA,1,4014252,7274,7274,0.521089
FLOW_DATA,2,189128,3637,3637,0.784744
1,5,1,1500,TCP,Auto,65535,65535,1.67707,1.1209,0,0.11968,0,0,10915,0,16.0206,1.71314,-51.6262,36.3623,4203380
FLOW_DATA,1,20070828,36362,36362,2.47847
FLOW_DATA,2,945416,18181,18181,3.86719
1,5,5,1500,TCP,Auto,65535,65535,7.19376,5.60433,0,0.116342,0,0,54547,0,16.0206,1.78193,-51.6262,36.3344,21016244
