U,RSSI,N,L_total,L_per,distance,source
87.1187,-31.6777,20.0,200.0,10.0,0.0,cu_0125_RSSI.csv
89.7448,-52.6468,20.0,200.0,10.0,5.0,cu_0125_RSSI.csv
88.5601,-61.6777,20.0,200.0,10.0,10.0,cu_0125_RSSI.csv
86.4741,-66.9604,20.0,200.0,10.0,15.0,cu_0125_RSSI.csv
88.6426,-70.7086,20.0,200.0,10.0,20.0,cu_0125_RSSI.csv
90.1308,-73.6159,20.0,200.0,10.0,25.0,cu_0125_RSSI.csv
88.3599,-75.9913,20.0,200.0,10.0,30.0,cu_0125_RSSI.csv
86.0944,-31.6777,15.0,150.0,10.0,0.0,cu_0125_RSSI.csv
85.6347,-52.6468,15.0,150.0,10.0,5.0,cu_0125_RSSI.csv
87.5716,-61.6777,15.0,150.0,10.0,10.0,cu_0125_RSSI.csv
87.1246,-66.9604,15.0,150.0,10.0,15.0,cu_0125_RSSI.csv
88.0101,-70.7086,15.0,150.0,10.0,20.0,cu_0125_RSSI.csv
89.344,-73.6159,15.0,150.0,10.0,25.0,cu_0125_RSSI.csv
88.9677,-75.9913,15.0,150.0,10.0,30.0,cu_0125_RSSI.csv
82.2228,-31.6777,10.0,100.0,10.0,0.0,cu_0125_RSSI.csv
79.6449,-52.6468,10.0,100.0,10.0,5.0,cu_0125_RSSI.csv
79.4527,-61.6777,10.0,100.0,10.0,10.0,cu_0125_RSSI.csv
81.4093,-66.9604,10.0,100.0,10.0,15.0,cu_0125_RSSI.csv
85.6648,-70.7086,10.0,100.0,10.0,20.0,cu_0125_RSSI.csv
87.7478,-73.6159,10.0,100.0,10.0,25.0,cu_0125_RSSI.csv
79.4267,-75.9913,10.0,100.0,10.0,30.0,cu_0125_RSSI.csv
17.8892,-31.6777,1.0,10.0,10.0,0.0,cu_0125_RSSI.csv
17.9147,-52.6468,1.0,10.0,10.0,5.0,cu_0125_RSSI.csv
